Pakistan,PAK,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.11967
Panama,PAN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.34329
Peru,PER,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.93061
Philippines,PHL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.29605
Palau,PLW,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Papua New Guinea,PNG,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Poland,POL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Pre-demographic dividend,PRE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.59475
Puerto Rico,PRI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.03154
"Korea, Dem. People’s Rep.",PRK,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.37218
Portugal,PRT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.43311
Paraguay,PRY,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
West Bank and Gaza,PSE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.75061
Pacific island small states,PSS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Post-demographic dividend,PST,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.48087
French Polynesia,PYF,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Qatar,QAT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Romania,ROU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.90427
Russian Federation,RUS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.068
Rwanda,RWA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.63686
South Asia,SAS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.11107
Saudi Arabia,SAU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.60624
Sudan,SDN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,6.76389
Senegal,SEN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.73283
Singapore,SGP,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Solomon Islands,SLB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Sierra Leone,SLE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.82363
El Salvador,SLV,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.67625
San Marino,SMR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Somalia,SOM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Serbia,SRB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.80537
Sub-Saharan Africa (excluding high income),SSA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.77572
South Sudan,SSD,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,5.53754
Sub-Saharan Africa,SSF,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.7759
Small states,SST,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.90946
Sao Tome and Principe,STP,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.71426
Suriname,SUR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.501
Slovak Republic,SVK,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.05919
Slovenia,SVN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.55947
Sweden,SWE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,15.13355
Eswatini,SWZ,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.54356
Sint Maarten (Dutch part),SXM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Seychelles,SYC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.02826
Syrian Arab Republic,SYR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Turks and Caicos Islands,TCA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Chad,TCD,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.18679
East Asia & Pacific (IDA & IBRD countries),TEA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.80665
Europe & Central Asia (IDA & IBRD countries),TEC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.50309
Togo,TGO,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Thailand,THA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.12262
Tajikistan,TJK,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Tokelau,TKL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Turkmenistan,TKM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.98871
Timor-Leste,TLS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.27507
Middle East & North Africa (IDA & IBRD countries),TMN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.75965
Tonga,TON,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.91942
South Asia (IDA & IBRD),TSA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.11107
Sub-Saharan Africa (IDA & IBRD countries),TSS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.7759
Trinidad and Tobago,TTO,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Tunisia,TUN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.04714
Turkey,TUR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.41151
Tuvalu,TUV,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.55312
Tanzania,TZA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.56098
Uganda,UGA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Ukraine,UKR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Upper middle income,UMC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.39156
Uruguay,URY,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.359
United States,USA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.86949
Uzbekistan,UZB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.34723
St. Vincent and the Grenadines,VCT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.13158
"Venezuela, RB",VEN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.64239
British Virgin Islands,VGB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.09869
Virgin Islands (U.S.),VIR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Vietnam,VNM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Vanuatu,VUT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.86177
World,WLD,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.45025
Samoa,WSM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.15385
Kosovo,XKX,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
"Yemen, Rep.",YEM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
South Africa,ZAF,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.75604
Zambia,ZMB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Zimbabwe,ZWE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
